,Index,Year,Lit,Pop,Sat,Gender
640,Western Africa,1985,,5258074.142857146,5258074.142857146,F
641,Western Africa,1986,,5398175.857142859,5398175.857142859,F
642,Western Africa,1987,17.9,5542548.214285715,5542548.214285715,F
643,Western Africa,1988,,5690700.000000002,5690700.000000002,F
644,Western Africa,1989,,5841908.928571431,5841908.928571431,F
645,Western Africa,1990,25.96,5995743.928571431,5995743.928571431,F
646,Western Africa,1991,16.6,6152113.285714285,6152113.285714285,F
647,Western Africa,1992,,6311479.428571432,6311479.428571432,F
648,Western Africa,1993,32.0,6474666.571428569,6474666.571428569,F
649,Western Africa,1994,,6642787.499999997,6642787.499999997,F
650,Western Africa,1995,8.9,6816717.7142857155,6816717.7142857155,F
651,Western Africa,1996,,6996904.142857144,6996904.142857144,F
652,Western Africa,1997,11.9,7183393.357142853,7183393.357142853,F
653,Western Africa,1998,,7376189.999999995,7376189.999999995,F
654,Western Africa,1999,36.86,7575141.499999994,7575141.499999994,F
655,Western Africa,2000,9.4,7780228.57142857,7780228.57142857,F
656,Western Africa,2001,26.3,7991492.500000007,7991492.500000007,F
657,Western Africa,2002,23.15,8209315.857142857,8209315.857142857,F
658,Western Africa,2003,36.05,8434397.463955205,8434397.463955205,F
659,Western Africa,2004,15.850000000000001,8667621.499999998,8667621.499999998,F
660,Western Africa,2005,28.5,8909611.714285718,8909611.714285718,F
661,Western Africa,2006,24.3,9160698.499999998,9160698.499999998,F
662,Western Africa,2007,41.4,9420714.714285716,9420714.714285716,F
663,Western Africa,2008,41.150000000000006,9689156.571428567,9689156.571428567,F
664,Western Africa,2009,32.6,9965237.428571433,9965237.428571433,F
665,Western Africa,2010,40.199999999999996,10248384.785714293,10248384.785714293,F
666,Western Asia,1974,43.73333333333333,2738337.125000001,2738337.125000001,F
667,Western Asia,1975,,2816050.625000001,2816050.625000001,F
668,Western Asia,1976,,2896269.6875,2896269.6875,F
669,Western Asia,1977,,2978995.75,2978995.75,F
670,Western Asia,1978,52.1,3064414.25,3064414.25,F
671,Western Asia,1979,54.45,3152754.1874999995,3152754.1874999995,F
672,Western Asia,1980,58.6,3244108.8125,3244108.8125,F
673,Western Asia,1981,,3338522.812500002,3338522.812500002,F
674,Western Asia,1982,88.7,3435721.5624999986,3435721.5624999986,F
675,Western Asia,1983,,3535064.1875000005,3535064.1875000005,F
676,Western Asia,1984,67.23333333333333,3635708.125,3635708.125,F
677,Western Asia,1985,72.5,3736993.3125,3736993.3125,F
678,Western Asia,1986,,3838520.5937557844,3838520.5937557844,F
679,Western Asia,1987,,3940258.5625000014,3940258.5625000014,F
680,Western Asia,1988,98.2,4042327.25,4042327.25,F
681,Western Asia,1989,68.5,4145020.1249999977,4145020.1249999977,F
682,Western Asia,1990,76.9,4248461.375,4248461.375,F
683,Western Asia,1991,74.15,4353199.312499998,4353199.312499998,F
684,Western Asia,1992,,4458965.396303848,4458965.396303848,F
685,Western Asia,1993,17.1,4564160.375000001,4564160.375000001,F
686,Western Asia,1994,74.2,4666622.0,4666622.0,F
687,Western Asia,1995,,4765120.437500001,4765120.437500001,F
688,Western Asia,1996,80.9,4859094.833945261,4859094.833945261,F
689,Western Asia,1997,,4949977.125,4949977.125,F
690,Western Asia,1998,98.2,5040999.75,5040999.75,F
691,Western Asia,1999,66.75,5136569.937499999,5136569.937499999,F
692,Western Asia,2000,92.63333333333333,5240055.499999998,5240055.499999998,F
693,Western Asia,2001,99.5,5352371.499999998,5352371.499999998,F
694,Western Asia,2002,79.1,5473186.3125,5473186.3125,F
695,Western Asia,2003,70.0,5603020.374999996,5603020.374999996,F
696,Western Asia,2004,87.5,3648493.463229687,3648493.463229687,F
697,Western Asia,2005,85.6,3769090.290337563,3769090.290337563,F
698,Western Asia,2006,89.58333333333333,3900098.9093727525,3900098.9093727525,F
699,Western Asia,2007,88.46666666666665,4040672.1738714473,4040672.1738714473,F
700,Western Asia,2008,92.63333333333334,4188471.7058682507,4188471.7058682507,F
701,Western Asia,2009,89.22,4340343.833909062,4340343.833909062,F
702,Western Asia,2010,85.425,4493578.159541505,4493578.159541505,F
0,Caribbean,1974,,1572989.0000000002,1572989.0000000002,M
1,Caribbean,1975,,1600014.6249999998,1600014.6249999998,M
2,Caribbean,1976,,1626357.0000000005,1626357.0000000005,M
3,Caribbean,1977,,1652131.125,1652131.125,M
4,Caribbean,1978,,1677469.0000000005,1677469.0000000005,M
5,Caribbean,1979,92.15,1702585.25,1702585.25,M
6,Caribbean,1980,73.6,1727648.2499999995,1727648.2499999995,M
7,Caribbean,1981,37.1,1752652.1249999998,1752652.1249999998,M
8,Caribbean,1982,,1777573.0,1777573.0,M
9,Caribbean,1983,95.1,1802539.8750000005,1802539.8750000005,M
10,Caribbean,1984,,1827712.6249999993,1827712.6249999993,M
11,Caribbean,1985,,1853191.7500000007,1853191.7500000007,M
12,Caribbean,1986,,1879031.8750000002,1879031.8750000002,M
13,Caribbean,1987,,1905166.1250000005,1905166.1250000005,M
14,Caribbean,1988,,1931423.125,1931423.125,M
15,Caribbean,1989,93.75,1957561.0,1957561.0,M
16,Caribbean,1990,,1983393.3749999998,1983393.3749999998,M
17,Caribbean,1991,,2008848.8749999993,2008848.8749999993,M
18,Caribbean,1992,,2033939.7499999993,2033939.7499999993,M
19,Caribbean,1993,,2058639.7500000014,2058639.7500000014,M
20,Caribbean,1994,,2082942.0000000014,2082942.0000000014,M
21,Caribbean,1995,,2106831.2499999995,2106831.2499999995,M
22,Caribbean,1996,,2130280.7500000005,2130280.7500000005,M
23,Caribbean,1997,,2153244.374999999,2153244.374999999,M
24,Caribbean,1998,74.1,2175717.6249999995,2175717.6249999995,M
25,Caribbean,1999,97.5,2197701.874999999,2197701.874999999,M
26,Caribbean,2000,98.4,2219187.875,2219187.875,M
27,Caribbean,2001,93.3,2240206.499999999,2240206.499999999,M
28,Caribbean,2002,63.1,2260740.375000001,2260740.375000001,M
29,Caribbean,2003,94.55,2280706.875,2280706.875,M
30,Caribbean,2004,,2299991.749999999,2299991.749999999,M
31,Caribbean,2005,53.4,2318538.624999999,2318538.624999999,M
32,Caribbean,2006,93.45,2336228.9999999995,2336228.9999999995,M
33,Caribbean,2007,,2353125.2500000014,2353125.2500000014,M
34,Caribbean,2008,,2369564.1249999995,2369564.1249999995,M
35,Caribbean,2009,93.15,2386009.624999999,2386009.624999999,M
36,Caribbean,2010,93.19999999999999,2402753.5000000005,2402753.5000000005,M
37,Central America,1974,,4869698.000000002,4869698.000000002,M
38,Central America,1975,,5005413.875000001,5005413.875000001,M
39,Central America,1976,,5141671.499999996,5141671.499999996,M
40,Central America,1977,,5278288.124999997,5278288.124999997,M
41,Central America,1978,,5414710.125000005,5414710.125000005,M
42,Central America,1979,87.15,5550286.187586991,5550286.187586991,M
43,Central America,1980,,5684598.125000003,5684598.125000003,M
44,Central America,1981,,5817211.374999998,5817211.374999998,M
45,Central America,1982,,5948288.500000004,5948288.500000004,M
46,Central America,1983,92.7,6078741.750000005,6078741.750000005,M
47,Central America,1984,,6209877.187909434,6209877.187909434,M
48,Central America,1985,,6342580.937508207,6342580.937508207,M
49,Central America,1986,,6477244.5,6477244.5,M
50,Central America,1987,,6613420.75,6613420.75,M
51,Central America,1988,,6750150.250000001,6750150.250000001,M
52,Central America,1989,89.8,6886048.249999993,6886048.249999993,M
53,Central America,1990,70.3,7020129.875000002,7020129.875000002,M
54,Central America,1991,77.4,7152008.124999996,7152008.124999996,M
55,Central America,1992,,7282032.625,7282032.625,M
56,Central America,1993,71.7,7410856.750000001,7410856.750000001,M
57,Central America,1994,,7539472.874999995,7539472.874999995,M
58,Central America,1995,,7668571.875000003,7668571.875000003,M
59,Central America,1996,,7798656.500000006,7798656.500000006,M
60,Central America,1997,,7929472.875,7929472.875,M
61,Central America,1998,,8060097.374999993,8060097.374999993,M
62,Central America,1999,93.26666666666667,8189198.125,8189198.125,M
63,Central America,2000,78.3,8315996.125000006,8315996.125000006,M
64,Central America,2001,83.7,8439857.499999994,8439857.499999994,M
65,Central America,2002,,8561562.812295225,8561562.812295225,M
66,Central America,2003,87.0,8683422.999999994,8683422.999999994,M
67,Central America,2004,85.65,8808610.250000002,8808610.250000002,M
68,Central America,2005,90.30000000000001,8939283.000000002,8939283.000000002,M
